client_id,visit_id,process_step,date_time,variation,tenure_years,age
3288914,374001250_66235409556_687897,start,2017-04-28 13:21:46,Test,5.0,43.5
3288914,374001250_66235409556_687897,start,2017-04-28 13:21:46,Test,5.0,43.5
3288914,374001250_66235409556_687897,step_3,2017-04-28 13:20:12,Test,5.0,43.5
3288914,374001250_66235409556_687897,step_3,2017-04-28 13:20:12,Test,5.0,43.5
3288914,374001250_66235409556_687897,start,2017-04-28 13:07:55,Test,5.0,43.5
3288914,374001250_66235409556_687897,start,2017-04-28 13:07:55,Test,5.0,43.5
3288914,299545970_10457606047_911662,start,2017-04-28 14:24:13,Test,5.0,43.5
3288914,299545970_10457606047_911662,start,2017-04-28 14:24:13,Test,5.0,43.5
5294788,18944765_50788180310_622032,start,2017-04-26 11:19:13,Test,8.0,73.0
5294788,18944765_50788180310_622032,start,2017-04-26 11:19:13,Test,8.0,73.0
7949020,808059464_8874956103_82536,start,2017-04-28 23:36:59,Control,10.0,69.0
7949020,808059464_8874956103_82536,start,2017-04-28 23:36:59,Control,10.0,69.0
7956471,827328202_22026810022_278067,step_3,2017-04-08 17:27:28,Control,20.0,60.5
7956471,827328202_22026810022_278067,step_3,2017-04-08 17:27:28,Control,20.0,60.5
5323656,983818276_74915435785_69279,start,2017-04-29 08:36:20,Control,21.0,45.5
5323656,983818276_74915435785_69279,start,2017-04-29 08:36:20,Control,21.0,45.5
5733434,590212139_45844143393_349071,start,2017-04-28 07:07:53,Test,26.0,53.0
5733434,590212139_45844143393_349071,start,2017-04-28 07:07:53,Test,26.0,53.0
5733434,590212139_45844143393_349071,start,2017-04-28 07:07:34,Test,26.0,53.0
5733434,590212139_45844143393_349071,start,2017-04-28 07:07:34,Test,26.0,53.0
1958136,731218298_22472862688_378036,confirm,2017-03-29 13:33:13,Control,17.0,69.5
1958136,731218298_22472862688_378036,confirm,2017-03-29 13:33:13,Control,17.0,69.5
8404765,926909813_18030561196_690311,step_3,2017-04-12 15:25:19,Control,21.0,29.5
8404765,926909813_18030561196_690311,step_3,2017-04-12 15:25:19,Control,21.0,29.5
8082921,429432432_57727180163_631105,step_3,2017-04-05 18:13:09,Control,7.0,28.0
8082921,429432432_57727180163_631105,step_3,2017-04-05 18:13:09,Control,7.0,28.0
8238902,933309850_58920822151_154271,confirm,2017-04-01 00:58:19,Control,11.0,66.5
8238902,933309850_58920822151_154271,confirm,2017-04-01 00:58:19,Control,11.0,66.5
8238902,933309850_58920822151_154271,step_3,2017-04-01 00:57:18,Control,11.0,66.5
8238902,933309850_58920822151_154271,step_3,2017-04-01 00:57:18,Control,11.0,66.5
3717237,634230909_32850975006_530292,start,2017-04-27 13:45:35,Control,15.0,41.5
3717237,634230909_32850975006_530292,start,2017-04-27 13:45:35,Control,15.0,41.5
4957930,469234478_41835956534_968853,start,2017-04-28 17:19:32,Control,10.0,61.0
4957930,469234478_41835956534_968853,start,2017-04-28 17:19:32,Control,10.0,61.0
2485176,532332796_22238016324_220289,start,2017-04-28 14:38:15,Test,32.0,57.5
2485176,532332796_22238016324_220289,start,2017-04-28 14:38:15,Test,32.0,57.5
